tool_name,current_spike,current_peak,current_lag,vibB_spike,vibB_peak,vibB_lag,vibH_spike,vibH_peak,vibH_lag
LP42C-STP,99,2.5,10,99,5,3,99,2,3
LP42A-STP,99,2.5,10,99,5,3,99,2,3
NV03-2,99,2.5,10,99,5,3,99,2,3
NV03-3,99,2.5,10,99,5,3,99,2,3
NV02-P1,99,2.5,10,99,5,3,99,2,3
NV10-P1,99,2.5,10,99,5,3,99,2,3
NV10-P4,99,2.5,10,99,5,3,99,2,3
NV10-P5,99,2.5,10,99,5,3,99,2,3
NV10-P6,99,2.5,10,99,5,3,99,2,3
NV10-P7,99,2.5,10,99,5,3,99,2,3
NV31-P1,99,2.5,10,99,5,3,99,2,3
NV32-P1,99,2.5,10,99,5,3,99,2,3
NV35-P1,99,2.5,10,99,5,3,99,2,3
NV35-P2,99,2.5,10,99,5,3,99,2,3
NV36-P1,99,2.5,10,99,5,3,99,2,3
NV36-P2,99,2.5,10,99,5,3,99,2,3
STPLP44B,99,2.5,10,99,5,3,99,2,3
STPLP44C,99,2.5,10,99,5,3,99,2,3
